,kmeans_20,kmeans_30,dbscan_0.1,agglo_0.5,ORCA
2009-11,5.661159345291746,5.69421715155573,6.070470581370469,5.952743699258453,5.491079229860293
2009-12,5.718984231521818,5.721642736142671,6.111223448779831,5.969654191423232,5.54705120022701
2010-01,5.769312799487086,5.772957631210131,6.1918508884787125,6.007013336955476,5.576447821243796
2010-02,5.745715375598405,5.740695835755668,6.175006057976028,5.994197869340363,5.606207305248743
2010-03,5.80351405933098,5.740880888923738,6.175318894149957,5.98358307175226,5.6199557407523955
2010-04,5.862943151602875,5.802573353941723,6.225217453693025,6.079206134164533,5.654579952678739
2010-05,5.929468391161339,5.884175668663049,6.272590105833596,6.14883786953244,5.69572315017087
2010-06,6.039907749936287,5.955751922585714,6.332624416681847,6.242906528677298,5.758093034085431
2010-07,6.093364106529803,6.022879147237786,6.372032471066884,6.300935949367173,5.818297420435259
2010-08,6.113815728006991,6.059095472289763,6.40075481858976,6.345229687357056,5.82033736874112
2010-09,6.098906087255286,6.07119237881741,6.375682019727418,6.338768216711017,5.809196052823706
2010-10,6.121574682319626,6.0639179047150495,6.387265728675323,6.322708848117546,5.817837214572613
2010-11,6.124761761734127,6.078477883565894,6.369142743676373,6.308936084072156,5.815072006314074
2010-12,6.120087975778681,6.088045657912057,6.403786983683165,6.3324071505703685,5.8112508800009
2011-01,6.143209808420636,6.08830904443899,6.446974832176164,6.3467000205552795,5.82448368965253
2011-02,6.137191197859301,6.100201921911228,6.420037471443259,6.332190458948992,5.8024193357861815
2011-03,6.208612615501837,6.136588846858166,6.453179548898257,6.3921695227087225,5.81896725885571
2011-04,6.246417554254397,6.14897949596157,6.532529424886848,6.396354229165556,5.831880607644428
2011-05,6.2692905254497235,6.171015893770488,6.528640908103958,6.389389621572559,5.830903830443564
2011-06,6.267845426270395,6.164268793428916,6.521173246213163,6.389408426729675,5.834891522173078
2011-07,6.2823839259808505,6.173782389893532,6.557948906621449,6.40417797100371,5.8429080699876454
2011-08,6.324150771104414,6.230198234490443,6.6095722888054995,6.459471893481592,5.90160892815268
2011-09,6.402241926855633,6.329153574510688,6.696723877026052,6.564591565195808,5.9786382487306255
2011-10,6.46699990139967,6.385253514648465,6.765051262609196,6.632777874488027,6.048651805130249
2011-11,6.490276729004751,6.432213274662444,6.786772772599225,6.642051660571605,6.068277349512555
2011-12,6.515678013785077,6.46747544850435,6.802416633254436,6.660353430371369,6.088347169546749
2012-01,6.516452270698335,6.46814729485712,6.866062887675787,6.677762783266488,6.114426625328601
2012-02,6.550684982416259,6.496553850619053,6.897271583794896,6.707976523755133,6.138038928299794
2012-03,6.575683457425836,6.509673098888764,6.896394536185443,6.721928140333111,6.148902341701232
2012-04,6.602864669795194,6.513812207461811,6.886417995446244,6.710831547744423,6.146198644482382
2012-05,6.656694467106078,6.566433312719617,6.942717822376894,6.808677590465089,6.161786309418825
2012-06,6.687907821590343,6.578505395786807,6.963648529576794,6.822025225669607,6.185982691379826
2012-07,6.707238827774547,6.6026368428595195,6.971896714763791,6.870292807585412,6.207321675981042
2012-08,6.735999846622106,6.636956416774787,6.9773108093526615,6.9067079406755045,6.224687763472274
2012-09,6.749854180426717,6.6654928641957225,7.012658858518248,6.932747036673475,6.256850789420136
2012-10,6.7609352885587315,6.664301343688803,7.0237510631153155,6.923843873600016,6.272491239825479
2012-11,6.80469333653554,6.697543738401274,7.079980941758941,6.958842534554031,6.333683077799546
2012-12,6.817520572969601,6.704941832114166,7.1003276552177805,6.961923500399647,6.334125666899624
2013-01,6.837305589501521,6.727552444240072,7.169401167639114,6.981782805546889,6.355836530939768
2013-02,6.849315472384574,6.744960114517417,7.172986030846099,6.984489750132808,6.379607708289666
2013-03,6.779493303810125,6.761684503140132,7.187831175229822,6.982506839379692,6.374609130051382
2013-04,6.816642670778534,6.8075365010860605,7.2093554371659225,7.016706531224708,6.413447576214162
2013-05,6.831332613904734,6.798874334071967,7.2272308034945185,7.008554934258629,6.4196676100875285
2013-06,6.815360700696113,6.792921520238723,7.22702315340515,7.014161390831566,6.426886356078208
2013-07,6.798014715767895,6.784720163543135,7.231216390776208,6.99983953762547,6.429037308679279
2013-08,6.840963964581325,6.780348639273704,7.220286732181124,7.008640441114765,6.453951501354849
2013-09,6.868755463734756,6.800933461811933,7.227520979557786,7.050211743499323,6.4774027793004985
2013-10,6.916903468910398,6.8256300652381166,7.218636245840736,7.082651368157395,6.487005906058847
2013-11,6.9118992091332006,6.845395314234726,7.235744618030953,7.0872494466597225,6.509484365860944
2013-12,6.927443144625343,6.863290207458617,7.24395337898005,7.097444041646643,6.51499961989117
2014-01,6.972858780722433,6.914392091221769,7.287818636214788,7.168444469094941,6.522068968341827
2014-02,6.980426145022107,6.9304629783386895,7.30453923398434,7.202225927394731,6.5470929486330025
2014-03,7.0349297831505675,6.9701196496775335,7.338180029076862,7.235035269479469,6.567843229913976
2014-04,7.064947684512117,7.01181335620966,7.388163474573532,7.262101898386641,6.595105195283206
2014-05,7.109257595623747,7.062106533411992,7.419171496828433,7.2997003084306,6.662748491742794
2014-06,7.101143275980293,7.063985125970031,7.460809600145076,7.308610111887731,6.688192329189713
2014-07,7.201340230622855,7.141608305825784,7.507213495780823,7.3846984280419745,6.719660181916382
2014-08,7.203993763151923,7.164492553890909,7.5259304770320625,7.382379510785645,6.733293562607909
2014-09,7.251902216385443,7.207146471208729,7.526378656753636,7.431100451806487,6.754761574832222
2014-10,7.269136412022022,7.20373480244784,7.502994944129771,7.431617587975506,6.796611134104966
2014-11,7.261492733126144,7.2090994181047225,7.490182774871077,7.423651583680567,6.834713149860359
2014-12,7.24311179494277,7.205244573129115,7.457794185122925,7.41667237700348,6.795007763796335
2015-01,7.288697646641905,7.2421912116477944,7.456653108220851,7.456590887127279,6.820497408881682
2015-02,7.330289706068136,7.276650644956523,7.474866917441657,7.50646247469216,6.839872508552766
2015-03,7.315514259343288,7.264561531488288,7.4422114437949975,7.5029159590812915,6.845352136773093
2015-04,7.337920883184586,7.261944101896939,7.46053587466053,7.523997460691331,6.8472693832441625
2015-05,7.347394463819282,7.306204646926034,7.453684411613934,7.562159973390141,6.85402072369756
2015-06,7.378526701709647,7.3589500214524515,7.476349329121612,7.639910194610268,6.929585681527699
2015-07,7.421967344277114,7.38625718607623,7.489411361954332,7.657581377712567,6.931119043316952
2015-08,7.475704566706508,7.438467280524372,7.550442758985167,7.735223692406877,6.96968370874746
2015-09,7.5322426951670565,7.487070212983265,7.567079934983004,7.790257685729462,6.99209438877334
2015-10,7.555199959048842,7.493210068430976,7.61627915076376,7.7971040290179525,7.030460401924485
2015-11,7.618675408753679,7.563814918840073,7.690593475642833,7.860129008808861,7.095196326766629
2015-12,7.69329175035933,7.611012717176242,7.752418303949096,7.955285415580923,7.13701989276991
2016-01,7.848145376971654,7.7694102873323,8.028474551289674,8.130818663104073,7.336507230623381
2016-02,7.852215597089068,7.795020779503925,8.06499089390376,8.118013822154731,7.3553816897834805
2016-03,7.890766936567854,7.850884772811852,8.137852791608022,8.141068068046218,7.388631528669481
2016-04,7.939946323353299,7.878269876957523,8.207315417395435,8.165424987267212,7.412861892852656
2016-05,7.997067193855125,7.915076734189485,8.302702080648213,8.207346706657244,7.467860981536707
2016-06,8.018597083713084,7.907608290285678,8.348469797055108,8.223145516928737,7.47276741584443
2016-07,8.031745950381856,7.914960692430087,8.36598625027881,8.238345665829097,7.4659689732539976
2016-08,8.07867352238681,7.995516876860988,8.418138514381237,8.278511510948908,7.471540937831203
2016-09,8.084216516281167,7.985695504420389,8.420515875528126,8.255179479368584,7.449772662771702
2016-10,8.1449432385634,8.053619461802635,8.52234144067922,8.314068285993436,7.492976261149477
2016-11,8.152173167444262,8.065082339449381,8.519129456856575,8.344656857778647,7.486071938636515
2016-12,8.146930280782575,8.048541835829178,8.512760062251077,8.343455197857054,7.479459089886034
2017-01,8.204373342645678,8.101373379143125,8.571526284057795,8.403738721750194,7.521065075026328
2017-02,8.183136953288985,8.111662460107203,8.598794003706596,8.400067169581884,7.5248398531619705
2017-03,8.21538361599575,8.135956295738906,8.628480628947514,8.430844444990813,7.526669332961601
2017-04,8.247934238670178,8.16629943006418,8.644376746133211,8.445301412649787,7.544419062392552
2017-05,8.238516777931615,8.2034312605401,8.652535589369206,8.493202089087339,7.558546454327901
2017-06,8.241079195905442,8.216430779027336,8.680782044028042,8.508112422088653,7.563504912965596
2017-07,8.237185728625375,8.205246809870225,8.676769686692118,8.488546080122891,7.578598156905389
2017-08,8.259661097892296,8.225225342224661,8.666603492037853,8.501749561531115,7.6210969507124755
2017-09,8.248269611739024,8.199177166527146,8.667921690051307,8.46841080392165,7.626701155875837
2017-10,8.247919251987959,8.192982073161811,8.648181466621196,8.486876023970463,7.641243255853066
2017-11,8.259793175184184,8.1845408347952,8.655346640980635,8.485118633789336,7.624632111481781
2017-12,8.295242750500051,8.217492719379244,8.672965053683741,8.506409225457904,7.651842012208702
2018-01,8.330368148182957,8.282737985675086,8.7289621338866,8.556188521834107,7.6962779393880165
2018-02,8.352810657789751,8.320573009134147,8.766422378236955,8.578386561801869,7.745900815824724
2018-03,8.398731690375294,8.36205118926573,8.784769956259021,8.610950032050415,7.765173997071394
2018-04,8.432891591657565,8.393143909489105,8.767535628798642,8.681054072122043,7.803593008935599
2018-05,8.438360737479334,8.39303380218867,8.74213724841102,8.696404397107688,7.845702713881734
2018-06,8.463869544408624,8.428343267447504,8.745139705025606,8.738013245339951,7.848352240659287
2018-07,8.483976490364688,8.427031019578813,8.759336988046138,8.755702353361814,7.8876426552550996
2018-08,8.541013537081588,8.482619946958978,8.788739230623065,8.81205045290222,7.915130966449027
2018-09,8.604877059169208,8.524442137786842,8.833695504720776,8.837735659204075,7.916303773876739
2018-10,8.70169835335549,8.598516111002944,8.927885453906612,8.942872644249704,7.97299482899679
2018-11,8.757088802521675,8.646689443833619,8.986926726514294,8.976140906878753,8.023218486444897
2018-12,8.8409272265951,8.741443273439804,9.00063660799395,9.063803763253233,8.100902762342008
2019-01,8.898946967457064,8.774557151434774,9.077354957286445,9.084809776407416,8.08596162112377
2019-02,8.93990329676925,8.821787669561193,9.148112952220218,9.130674981602983,8.11158128126467
2019-03,8.98970176975189,8.83744116512391,9.203259694545286,9.166928247129556,8.17418203776092
2019-04,9.011893956237554,8.843717637865154,9.18612242272957,9.184967258381596,8.18284137775825
2019-05,9.050193191930088,8.905004886646937,9.243016908617896,9.275543103469778,8.227090233859899
2019-06,9.07775451541217,8.93616779097347,9.242312599616142,9.326338905902091,8.249812671849753
2019-07,9.124743167879398,8.959171533444469,9.25364987449235,9.34222502994757,8.276944674175065
2019-08,9.205817366560204,9.07385922327094,9.347993413179182,9.419488283944721,8.348459431291165
